# size -B **/arm64/* > arm64-sizes.txt
   text	   data	    bss	    dec	    hex	filename
  41313	   1488	    368	  43169	   a8a1	coreutils/arm64/[
  24719	   2032	    352	  27103	   69df	coreutils/arm64/arch
  44573	   2056	    408	  47037	   b7bd	coreutils/arm64/b2sum
  29441	   1720	    352	  31513	   7b19	coreutils/arm64/base32
  29201	   1720	    352	  31273	   7a29	coreutils/arm64/base64
  23671	   1648	    352	  25671	   6447	coreutils/arm64/basename
  26964	   1856	    368	  29188	   7204	coreutils/arm64/cat
  51180	   2208	    440	  53828	   d244	coreutils/arm64/chcon
  48213	   2072	    384	  50669	   c5ed	coreutils/arm64/chgrp
  45198	   1944	    400	  47542	   b9b6	coreutils/arm64/chmod
  50315	   2120	    384	  52819	   ce53	coreutils/arm64/chown
  29650	   1784	    352	  31786	   7c2a	coreutils/arm64/chroot
  25723	   1576	    352	  27651	   6c03	coreutils/arm64/cksum
  28548	   1760	    400	  30708	   77f4	coreutils/arm64/comm
 117270	   3576	   1544	 122390	  1de16	coreutils/arm64/cp
  37630	   2000	    664	  40294	   9d66	coreutils/arm64/csplit
  32292	   1936	    464	  34692	   8784	coreutils/arm64/cut
  83191	   4504	    352	  88047	  157ef	coreutils/arm64/date
  66120	   1856	   1048	  69024	  10da0	coreutils/arm64/dd
  72825	   2960	    528	  76313	  12a19	coreutils/arm64/df
 114836	   4904	   4824	 124564	  1e694	coreutils/arm64/dir
  35046	   2384	    440	  37870	   93ee	coreutils/arm64/dircolors
  23006	   1576	    352	  24934	   6166	coreutils/arm64/dirname
  86711	   2880	    536	  90127	  1600f	coreutils/arm64/du
  23973	   1424	    352	  25749	   6495	coreutils/arm64/echo
  23974	   1712	    360	  26046	   65be	coreutils/arm64/env
  27287	   1704	    440	  29431	   72f7	coreutils/arm64/expand
  36221	   1648	    360	  38229	   9555	coreutils/arm64/expr
  61015	   1712	   2432	  65159	   fe87	coreutils/arm64/factor
  21648	   1416	    352	  23416	   5b78	coreutils/arm64/false
  30957	   1832	  45448	  78237	  1319d	coreutils/arm64/fmt
  26343	   1704	    384	  28431	   6f0f	coreutils/arm64/fold
  24924	   1600	    376	  26900	   6914	coreutils/arm64/groups
  32753	   1856	    352	  34961	   8891	coreutils/arm64/head
  22244	   1544	    352	  24140	   5e4c	coreutils/arm64/hostid
  31982	   1928	    456	  34366	   863e	coreutils/arm64/id
 119285	   3224	   9696	 132205	  2046d	coreutils/arm64/install
  36117	   1840	    560	  38517	   9675	coreutils/arm64/join
  22615	   1544	    352	  24511	   5fbf	coreutils/arm64/link
  51524	   2384	    408	  54316	   d42c	coreutils/arm64/ln
  22346	   1552	    352	  24250	   5eba	coreutils/arm64/logname
 114836	   4904	   4824	 124564	  1e694	coreutils/arm64/ls
  34690	   1920	    384	  36994	   9082	coreutils/arm64/md5sum
  34690	   1920	    384	  36994	   9082	coreutils/arm64/md5sum.textutils
  62243	   2120	    360	  64723	   fcd3	coreutils/arm64/mkdir
  48527	   1960	    360	  50847	   c69f	coreutils/arm64/mkfifo
  51872	   1984	    360	  54216	   d3c8	coreutils/arm64/mknod
  35565	   1840	    360	  37765	   9385	coreutils/arm64/mktemp
 109874	   2952	   1480	 114306	  1be82	coreutils/arm64/mv
  25335	   1616	    352	  27303	   6aa7	coreutils/arm64/nice
  30719	   2088	   1432	  34239	   85bf	coreutils/arm64/nl
